"","row","col","geo","env","clim","pH","EMF","AGB","PTN","PTP","BGB","STN","avaP","plant.repl","plant.rich","plant.sor","bac.repl","bac.rich","bac.sor","fun.repl","fun.rich","fun.sor","plant.q1","plant.q2","bac.q1","bac.q2","fun.q1","fun.q2","SES","SES.sig"
"1","bnch.us_25","bnch.us_20",0,0.0270270270270271,0,0.0270270270270271,0.220370206121761,0.0499199679871949,0.189340401346107,0.0291497731807202,0.0491053581588751,0.0833333333333334,0.00396825396825397,0.2,0.1,0.3,0.354463486819465,0.0296648083144057,0.38412829513387,0.373333333333333,0.108148148148148,0.481481481481481,0.260817279065377,0.233189432409427,0.128690711699235,0.0635080533429664,0.452110720853263,0.695852884145033,-1.65537824940118,"neutral"
"2","bnch.us_7","bnch.us_20",0,0.108108108108108,0,0.108108108108108,0.229786669340512,0.093937575030012,0.0188068597768599,0.156755410051212,0.134443766494013,0.0312499999999999,0,0.24,0.12,0.36,0.366292642518262,0.0616763310490248,0.427968973567287,0.509598603839442,0.0506108202443281,0.56020942408377,0.311794120178869,0.277287451024417,0.226636001156768,0.231888370825486,0.576884284882327,0.839771948796055,-1.61643409070693,"neutral"
"3","burrawan.au_1","bnch.us_20",11899.4395947172,0.925142251697221,0.924747384795158,0.0270270270270271,0.643132198316248,0.044765406162465,0.423327307651706,0.0517833969202912,0.312847653587108,0.363095238095238,0.00396825396825397,0.909090909090909,0,0.909090909090909,0.434307920059215,0.30440414507772,0.738712065136936,0.446153846153846,0.543589743589744,0.98974358974359,0.786803388157971,0.786410670714361,0.740399831551506,0.818527955602722,0.986228421085206,0.996742104762324,-0.348169756783902,"neutral"
"4","burrawan.au_24","bnch.us_20",11899.4395947172,0.943901623577133,0.924747384795158,0.189189189189189,0.649704117829285,0.0152060824329732,0.403996703119958,0.13980627835505,0.321654809408299,0.368303571428571,0.00396825396825397,0.833333333333333,0.0833333333333333,0.916666666666667,0.380514000767165,0.351937092443422,0.732451093210587,0.213649851632047,0.786350148367952,1,0.860462406222866,0.911685608501911,0.695888058563784,0.756091336156536,1.00000000000002,1,-0.279606102828107,"neutral"
"5","cbgb.us_1","bnch.us_20",2330.48185339642,0.538529176778034,0.521298541618175,0.135135135135135,0.612194689961878,0.069327731092437,0.301122187795435,0.0758513008015644,0.319088744265838,0.359375,0.206349206349206,0.736842105263158,0.157894736842105,0.894736842105263,0.550069541029207,0.0196105702364395,0.569680111265647,0.771739130434783,0.0905797101449275,0.86231884057971,0.630875667102009,0.481516704739426,0.506436068578067,0.569641466825515,0.867303805027672,0.966401512323142,-0.389878574485932,"neutral"
"6","cbgb.us_24","bnch.us_20",2330.48185339642,0.587195187723129,0.521298541618175,0.27027027027027,0.631058074076864,0.0669267707082833,0.311610301914475,0.096131397530502,0.339741282325378,0.399553571428571,0.111111111111111,0.761904761904762,0.0476190476190476,0.80952380952381,0.551883281226738,0.0494268274527319,0.60131010867947,0.409876543209877,0.48641975308642,0.896296296296296,0.583599743086459,0.40453803465656,0.547212720673472,0.615815088082733,0.875268201981983,0.914664878679397,-0.315160017725547,"neutral"
"7","cbgb.us_33","bnch.us_20",2330.48185339642,0.521998687434323,0.521298541618175,0.0270270270270271,0.743813802423996,0.221888755502201,0.425582185862773,0.108132373430432,0.336053140119616,0.360119047619048,0.261904761904762,0.5,0.375,0.875,0.526729443167495,0.045302884258916,0.572032327426411,0.544247787610619,0.331858407079646,0.876106194690266,0.622327361762944,0.486989640722429,0.525427662954608,0.610648815777449,0.90880115247433,0.973176918689345,0.00112299756577182,"neutral"
"8","cowi.ca_25","bnch.us_20",478.142624325775,0.590321206304174,0.589702184515621,0.0270270270270269,0.708715470168667,0.685924369747899,0.0158129391038619,0.00408076575948763,0.131188641357018,0.115327380952381,0.0317460317460317,0.4,0.466666666666667,0.866666666666667,0.476146148475681,0.093631215576759,0.56977736405244,0.47787610619469,0.331858407079646,0.809734513274336,0.579093710885279,0.466252061454691,0.520180427675509,0.643050502308409,0.889214057298049,0.981639371535734,-0.0700759121847798,"neutral"
"9","elliot.us_16","bnch.us_20",1338.76849218766,1.04460609244875,1.03194249914612,0.162162162162162,0.815037323990729,0.0587735094037615,0.073985061181403,0.66541047458105,0.308709718542977,0.342261904761905,0.0119047619047619,0.88,0.12,1,0.502119334854907,0.149168568633844,0.651287903488751,0.708757637474542,0.226069246435845,0.934826883910387,1,1,0.684598080353215,0.795972928290717,0.947432317775906,0.981162091647886,0.206175793353322,"neutral"
"10","elliot.us_29","bnch.us_20",1338.76849218766,1.04460609244875,1.03194249914612,0.162162162162162,0.572593201603651,0.277060824329732,0.00923928391592116,0.289548775073426,0.345286467184893,0.208333333333333,0.0674603174603175,0.8,0.1,0.9,0.577706022743226,0.0103888810894286,0.588094903832655,0.704061895551257,0.164410058027079,0.868471953578337,0.875588219800804,0.941813910319832,0.581913938718874,0.711912855128719,0.881363094883624,0.960481150663399,-0.499941966727833,"neutral"
"11","elliot.us_6","bnch.us_20",1338.76849218766,1.04460609244875,1.03194249914612,0.162162162162162,0.649133412078028,0.0296618647458984,0.117978309152919,0.461249782049974,0.325840600816618,0.293898809523809,0.0357142857142857,0.9,0.1,1,0.415281216837637,0.246727980191015,0.662009197028652,0.745697896749522,0.151051625239006,0.896749521988528,1,1,0.660916021480322,0.833395640149906,0.913138457288643,0.947353314892551,-0.288685898644905,"neutral"
"12","gilb.za_14","bnch.us_20",17077.54558511,0.614089407062546,0.608713116465509,0.081081081081081,0.63712468921449,0.0257102841136455,0.31404503350161,0.293682138777489,0.26179485705853,0.388392857142857,0.0317460317460317,0.526315789473684,0.421052631578947,0.947368421052632,0.397190861409903,0.25326695706285,0.650457818472753,0.548387096774194,0.387096774193548,0.935483870967742,0.994792005175152,0.999811339480649,0.585030088050294,0.733046556669653,0.949411596548234,0.974804595351194,-0.321661928546471,"neutral"
"13","gilb.za_26","bnch.us_20",17077.54558511,0.618238644211009,0.608713116465509,0.108108108108108,0.90796234609325,0.0801070428171269,0.285016745290433,0.283089085341333,0.654713532815107,0.475446428571429,0.0436507936507936,0.5,0.45,0.95,0.403191107923987,0.263714593044102,0.666905700968089,0.592427616926503,0.34075723830735,0.933184855233853,0.995001273326218,0.999818494027845,0.630589951549732,0.786449627118981,0.943858092870546,0.978649376944417,0.517194484279073,"neutral"
"14","gilb.za_6","bnch.us_20",17077.54558511,0.611108418299757,0.608713116465509,0.0540540540540541,0.629613226706704,0.0137304921968787,0.25080393859175,0.192005814756579,0.277693972101022,0.467261904761905,0.0317460317460317,0.48780487804878,0.463414634146341,0.951219512195122,0.389703253485878,0.260100107257776,0.649803360743654,0.750476190476191,0.146666666666667,0.897142857142857,0.992125860581053,0.999567134654398,0.58591796321451,0.704257662142484,0.917699474401723,0.969683440314764,-0.346864314947516,"neutral"
"15","hall.us_13","bnch.us_20",3067.83978897864,0.511597376983845,0.500044511116797,0.108108108108108,0.598492915672353,0.164515806322529,0.315622915584294,0.0574814508399595,0.32319966142417,0.340773809523809,0.0873015873015873,0.4,0.466666666666667,0.866666666666667,0.518790662074244,0.0790662074244164,0.597856869498661,0.54586129753915,0.34675615212528,0.89261744966443,0.647872235597617,0.495373671024532,0.592496907074092,0.71592170881328,0.930741228398391,0.989054758403555,-0.450501699741763,"neutral"
"16","hall.us_26","bnch.us_20",3067.83978897864,0.506575418676541,0.500044511116797,0.081081081081081,0.639880373799634,0.00715286114445779,0.265917889908786,0.33458952541895,0.344308116114634,0.319196428571428,0.0793650793650794,0.285714285714286,0.571428571428571,0.857142857142857,0.493459700791102,0.1042531526592,0.597712853450302,0.647773279352227,0.218623481781377,0.866396761133603,0.752871957183239,0.776984434133876,0.597090226365835,0.826162129473963,0.899170832627689,0.961697656016627,-0.318880431774751,"neutral"
"17","hall.us_3","bnch.us_20",3067.83978897864,0.502957606421968,0.500044511116797,0.0540540540540541,0.702434203824937,0.434323729491797,0.290777216480815,0.0128915941322289,0.329654194527689,0.332589285714286,0.0277777777777778,0.5,0.375,0.875,0.546082776233756,0.0589649215052956,0.605047697739052,0.694117647058824,0.180392156862745,0.874509803921569,0.866224963049049,0.930141855422462,0.593026387507223,0.715228031793457,0.926850423168802,0.985507441373473,-0.140580737583852,"neutral"
"18","hart.us_17","bnch.us_20",263.948821489814,0.96358852756104,0.846994601848485,0.459459459459459,0.612916508220542,0.130802320928371,0.272117373481548,0.0303526701065671,0.316036066806151,0.356398809523809,0.238095238095238,0.740740740740741,0.185185185185185,0.925925925925926,0.622718488297187,0.00909025839238422,0.631808746689571,0.606924643584521,0.226069246435845,0.832993890020367,0.944934369212274,0.986175915327584,0.637584723198222,0.750979308499318,0.883463408424906,0.972761303933631,-0.391698897523645,"neutral"
"19","hart.us_24","bnch.us_20",263.948821489814,0.976764535133438,0.846994601848485,0.486486486486486,0.652715022371773,0.138355342136855,0.366011319776007,0.00721430430637054,0.330064791117942,0.359375,0.186507936507937,0.740740740740741,0.185185185185185,0.925925925925926,0.493198992443325,0.183711167086482,0.676910159529807,0.541019955654102,0.334811529933481,0.875831485587583,0.82016897324447,0.8100611891057,0.662195340173577,0.787318220636785,0.8528748614566,0.930034465058059,-0.338073497277502,"neutral"
"20","hart.us_8","bnch.us_20",263.948821489814,0.950998246149752,0.846994601848485,0.432432432432432,0.617036486453127,0.163065226090436,0.228906287282715,0.110888130032289,0.334639715612838,0.357886904761905,0.222222222222222,0.869565217391304,0.0434782608695652,0.91304347826087,0.420488602306784,0.280356007628735,0.700844609935519,0.427518427518428,0.479115479115479,0.906633906633907,0.85206851571429,0.880733811832046,0.712624317801489,0.914286175352303,0.928507770487424,0.964986349240382,-0.38664881925614,"neutral"
"21","lancaster.uk_14","bnch.us_20",7681.02992030349,0.404632846056008,0.241953451636788,0.324324324324324,0.594196177104994,0.0118047218887555,0.0594008952980468,0.106237604817521,0.229201589889434,0.497767857142857,0.194444444444444,0.956521739130435,0.0434782608695652,1,0.517170486560573,0.0734790223102109,0.590649508870783,0.132183908045977,0.729885057471264,0.862068965517241,1,1,0.587322932828599,0.788053072435366,0.780171693755124,0.924417700211327,-0.49890923311734,"neutral"
"22","lancaster.uk_21","bnch.us_20",7681.02992030349,0.362749902482303,0.241953451636788,0.27027027027027,0.690698381936657,0.0922368947579031,0.287861023288997,0.328568218933207,0.20413405558846,0.395833333333334,0.281746031746032,0.952380952380952,0.0476190476190476,1,0.560932944606414,0.0275510204081633,0.588483965014577,0.80977312390925,0.0506108202443281,0.860383944153578,0.999999999999999,1,0.600214380531215,0.82856088518682,0.894333598426919,0.966661089849551,-0.155738722741557,"neutral"
"23","lancaster.uk_3","bnch.us_20",7681.02992030349,0.324485631290221,0.241953451636788,0.216216216216216,0.417665322430516,0.0989895958383353,0.0810568614281422,0.194896844329902,0.254006071122922,0.190476190476191,0.138888888888889,0.956521739130435,0.0434782608695652,1,0.553262607179189,0.0244150559511699,0.577677663130359,0.822742474916388,0.00668896321070234,0.82943143812709,0.999999999999999,1,0.578026890394477,0.782448890377944,0.853925981690087,0.945555469246473,-1.04055726479926,"neutral"
"24","look.us_17","bnch.us_20",15.0692121755602,0.267924886250303,0.158222288307875,0.216216216216216,0.941774986034014,0.167617046818727,0.574417814137227,0.321794762342828,0.0173541942423366,0.600446428571429,0.253968253968254,0.333333333333333,0.222222222222222,0.555555555555556,0.412414837244512,0.067221801665405,0.479636638909917,0.524271844660194,0.168932038834951,0.693203883495146,0.35238272815772,0.280409431222264,0.362356792812817,0.61687957030539,0.772227140782262,0.943086155280262,0.593414905055493,"neutral"
"25","look.us_7","bnch.us_20",15.0692121755602,0.336778822816486,0.158222288307875,0.297297297297297,0.625569248887482,0.158613445378151,0.169130526312152,0.162818819921902,0.0981903932576047,0.516369047619048,0.186507936507937,0.4,0.1,0.5,0.400641025641026,0.0758547008547008,0.476495726495726,0.612111292962357,0.0147299509001637,0.62684124386252,0.342736101082834,0.257769947163746,0.319975577768601,0.38882294588879,0.677533171139932,0.880410809968413,-0.376453501679811,"neutral"
"26","mtca.au_16","bnch.us_20",14752.8503981817,1.03905552082991,1.03588717226242,0.081081081081081,0.602679089675497,0.127551020408163,0.28045361586157,0.076274003486481,0.338193699787598,0.383184523809524,0.0357142857142857,0.75,0.0833333333333333,0.833333333333333,0.380703789636504,0.36291569992266,0.743619489559165,0.513189448441247,0.443645083932854,0.956834532374101,0.724083018271952,0.70695457374262,0.747975686671377,0.907070599767847,0.958246965874665,0.996672465494401,-0.430106677314308,"neutral"
"27","mtca.au_27","bnch.us_20",14752.8503981817,1.03623968938067,1.03588717226242,0.0270270270270269,0.540935116135425,0.141956782713085,0.123412236427981,0.219718452065988,0.300892469661275,0.34375,0.0158730158730159,0.6,0.266666666666667,0.866666666666667,0.340227088402271,0.429237631792376,0.769464720194647,0.609865470852018,0.349775784753363,0.959641255605381,0.730046406658481,0.659771447979357,0.770701932405384,0.842638634892359,0.953212742696352,0.987353943765277,-0.595329613946103,"neutral"
"28","mtca.au_8","bnch.us_20",14752.8503981817,1.03623968938067,1.03588717226242,0.0270270270270271,0.565158900610082,0.0918867547018807,0.21057050783372,0.0428152667301877,0.344897715960012,0.381696428571428,0.0119047619047619,0.692307692307692,0.153846153846154,0.846153846153846,0.324992276799506,0.451755740912367,0.776748017711873,0.513317191283293,0.457627118644068,0.970944309927361,0.812193026041002,0.824330815735491,0.77191993553636,0.858934407732726,0.983040823613287,0.997400429536796,-0.579439453334106,"neutral"
"29","sage.us_10","bnch.us_20",558.215901158088,0.470847486617688,0.467734449120989,0.0540540540540541,0.409165260156572,0.160414165666266,0.071567112772605,0.142923473839213,0.276634654031625,0.198660714285714,0.0119047619047619,0.666666666666667,0.185185185185185,0.851851851851852,0.540551724137931,0.0277241379310345,0.568275862068966,0.705667276051188,0.10054844606947,0.806215722120658,0.940219280048018,0.972723622881176,0.560446710546162,0.754659413105985,0.82003011847898,0.931892873391706,-1.02847129304032,"neutral"
"30","sage.us_14","bnch.us_20",558.215901158088,0.554221253539408,0.467734449120989,0.297297297297297,0.740193486636527,0.136104441776711,0.478934950378803,0.335413113331533,0.337133456972202,0.269345238095238,0.0357142857142857,0.8,0.12,0.92,0.572554965883245,0.0688400303260046,0.641394996209249,0.48735632183908,0.383908045977012,0.871264367816092,0.968417364861161,0.988293684669686,0.659905968954099,0.846619387776099,0.911621925999917,0.967375128016566,-0.0533126556187683,"neutral"
"31","sgs.us_19","bnch.us_20",1459.33326206575,0.828539860921331,0.799830512659202,0.216216216216216,0.609188948007932,0.0936374549819928,0.145124561780889,0.25858689434946,0.301778994769705,0.350446428571428,0.246031746031746,0.705882352941177,0.294117647058824,1,0.515425940138143,0.0819646968534152,0.597390636991558,0.527777777777778,0.393518518518519,0.921296296296296,1,1,0.531703772335786,0.580014678575667,0.915932202985416,0.965119043467773,-0.436390304376962,"neutral"
"32","sgs.us_38","bnch.us_20",1459.33326206575,0.836000074380483,0.799830512659202,0.243243243243243,0.581742841359208,0.0910264105642257,0.360718429350748,0.0561548567925528,0.203593555994523,0.360863095238095,0.158730158730159,0.952380952380952,0.0476190476190476,1,0.539672879421833,0.0724990490680867,0.61217192848992,0.684426229508197,0.233606557377049,0.918032786885246,1,1,0.550557895365218,0.631583827423447,0.932017647678199,0.979094205883992,-0.511592536829016,"neutral"
"33","sgs.us_8","bnch.us_20",1459.33326206575,0.816103802109627,0.799830512659202,0.162162162162162,0.540567787888005,0.124099639855942,0.0444409153595647,0.0746321410238971,0.280670489617635,0.333333333333333,0.281746031746032,0.842105263157895,0.157894736842105,1,0.438356164383562,0.207020547945205,0.645376712328767,0.24929178470255,0.705382436260623,0.954674220963173,1,1,0.591115256873118,0.651955748488428,0.964523798630058,0.99012104124465,-0.623758512733831,"neutral"
"34","shps.us_13","bnch.us_20",778.463145159482,1.08315754376128,0.846577017114914,0.675675675675676,0.444551888744689,0.0953381352541016,0.0468129957742616,0.179420672262771,0.247760883776347,0.273065476190476,0.134920634920635,0.689655172413793,0.241379310344828,0.931034482758621,0.606257425742574,0.116673267326733,0.722930693069307,0.478468899521531,0.440191387559809,0.91866028708134,0.949904945336657,0.976904644570394,0.747853184045127,0.822042487352909,0.903403257227553,0.966638498825394,-0.877411430738184,"neutral"
"35","shps.us_2","bnch.us_20",778.463145159482,0.950626348533753,0.846577017114914,0.432432432432432,0.475008313753381,0.0575230092036814,0.074575101599221,0.172532130949485,0.287918738782976,0.260416666666667,0.19047619047619,0.625,0.3125,0.9375,0.637770443711038,0.033956729006234,0.671727172717272,0.723880597014925,0.123134328358209,0.847014925373134,0.949223876057756,0.980222243433255,0.664647473560925,0.690475315961552,0.836384494178231,0.899540178649665,-0.862630626529549,"neutral"
"36","shps.us_27","bnch.us_20",778.463145159482,1.06650725046804,0.846577017114914,0.648648648648648,0.46350146689591,0.128001200480192,0.0869617026667863,0.145475746040284,0.289273963483996,0.273065476190476,0.107142857142857,0.645161290322581,0.290322580645161,0.935483870967742,0.568533679176461,0.142741347167058,0.711275026343519,0.620833333333333,0.254166666666667,0.875,0.951521749287799,0.979438817201273,0.719634978012002,0.759684399091413,0.877523125941214,0.946933457593726,-0.88428974512668,"neutral"
"37","spin.us_29","bnch.us_20",3182.52567529955,0.507242369000222,0.495587992056146,0.108108108108108,1.13316788392987,0.162414965986395,0.0313831340136936,0.40583824834537,0.298711874422901,0.223214285714286,0.976190476190476,0.777777777777778,0.222222222222222,1,0.630949869928988,0.00878858187442874,0.639738451803417,0.515222482435597,0.409836065573771,0.925058548009368,1,1,0.670073070251486,0.918633542044582,0.976674860241826,0.998256417175956,1.20278710766267,"neutral"
"38","summ.za_18","bnch.us_20",17147.240671558,0.831441052979794,0.824382715455288,0.108108108108108,0.491292460418151,0.0671518607442977,0.338836952838674,0.170436839583316,0.258873635778136,0.159970238095238,0.0198412698412698,0.488888888888889,0.511111111111111,1,0.365357311878845,0.334406057737814,0.699763369616659,0.586907449209932,0.358916478555305,0.945823927765237,1,1,0.667340693807702,0.916268162166147,0.958350222158726,0.988661845526009,-0.766645776750273,"neutral"
